ADDACCOUNT 3885492750 8601 50678
ADDACCOUNT 3637681227 4129 74486
ADDACCOUNT 8208870473 2794 94672
ADDACCOUNT 6241676197 4322 37479
ADDACCOUNT 6470160306 6573 71216
ADDACCOUNT 2838945589 4012 11755
ADDACCOUNT 4807038448 5788 29432
ADDACCOUNT 3405979329 3557 49580
ADDACCOUNT 8905304832 8108 19393
ADDACCOUNT 6285208831 5450 48906
ADDACCOUNT 9235469919 9969 60062
ADDACCOUNT 3614765972 6858 47127
ADDACCOUNT 5826772997 1910 84038
ADDACCOUNT 7163060863 4077 34810
ADDACCOUNT 7455062874 9428 59872
ADDACCOUNT 3596474063 3526 17085
ADDACCOUNT 8748932025 4822 64715
ADDACCOUNT 1599924443 4098 6825
ADDACCOUNT 3626150029 4227 81224
ADDACCOUNT 2487494059 6646 23100
ADDACCOUNT 2989404290 2888 45134
ADDACCOUNT 2438952719 2479 91244
ADDACCOUNT 9375981985 1373 69282
ADDACCOUNT 4643839340 6719 56392
ADDACCOUNT 8102698645 7555 94602
ADDACCOUNT 3797580486 3781 75970
ADDACCOUNT 3883757473 6482 13928
ADDACCOUNT 1484643073 1460 55807
ADDACCOUNT 1699035231 3840 82533
ADDACCOUNT 4459969537 6220 33280
ADDACCOUNT 4730722593 5479 66876
ADDACCOUNT 5789922413 2635 59000
ADDACCOUNT 4624441229 5419 34241
ADDACCOUNT 2130846438 9358 72516
ADDACCOUNT 9784450512 1645 91967
ADDACCOUNT 4580576570 8288 12788
ADDACCOUNT 5888188424 3284 47292
ADDACCOUNT 2442707751 1168 46956
ADDACCOUNT 2228710710 7236 6285
ADDACCOUNT 3962343550 9983 68264
ADDACCOUNT 2390555486 8967 68825
ADDACCOUNT 5768390705 5263 34994
ADDACCOUNT 4555462574 7288 64518
ADDACCOUNT 6432290595 1942 80027
ADDACCOUNT 4338090908 5461 34476
ADDACCOUNT 1781670031 3706 64968
ADDACCOUNT 8342049983 6333 99518
ADDACCOUNT 6801666336 8124 75135
ADDACCOUNT 9202076597 4904 33648
ADDACCOUNT 7814112696 1390 75762
WITHDRAW 626 4624441229 5419 2800
WITHDRAW 627 2228710710 7236 4150
BALANCE 630 1781670031 3706 0
WITHDRAW 634 3885492750 8601 4900
DEPOSIT 637 6241676197 4322 1300
BALANCE 654 6241676197 4322 0
WITHDRAW 656 3883757473 6482 1200
BALANCE 659 9202076597 4904 0
DEPOSIT 662 8102698645 7555 1050
DEPOSIT 663 9202076597 4902 1150
DEPOSIT 668 4807038448 5788 950
WITHDRAW 672 6470160306 6573 2650
BALANCE 676 6432290595 1942 0
DEPOSIT 678 1599924443 4098 1100
WITHDRAW 679 3637681227 4129 3200
BALANCE 682 4555462574 7288 0
DEPOSIT 684 4338090908 5461 850
WITHDRAW 690 3405979329 3557 2400
DEPOSIT 705 2838945589 4012 400
WITHDRAW 706 5888188424 3284 800
BALANCE 712 4643839340 6719 0
WITHDRAW 719 4580576570 8288 500
WITHDRAW 735 4807038448 5788 850
BALANCE 737 4338090908 5461 0
WITHDRAW 741 3614765972 6858 400
WITHDRAW 741 4580576570 8288 3800
WITHDRAW 742 5789922413 2635 3300
WITHDRAW 750 1699035231 3840 1150
WITHDRAW 756 4555462574 7288 1950
DEPOSIT 758 5789922413 2635 1150
BALANCE 769 8342049983 6333 0
BALANCE 772 5826772997 1910 0
DEPOSIT 777 7814112696 1390 550
BALANCE 793 3885492750 8601 0
DEPOSIT 794 4643839340 6719 1100
DEPOSIT 799 9202076597 4904 550
DEPOSIT 800 3797580486 3781 550
DEPOSIT 801 3883757473 6482 1400
BALANCE 803 3637681227 4129 0
DEPOSIT 805 3614765972 6858 350
BALANCE 805 3596474063 3526 0
DEPOSIT 821 1781670031 3706 600
WITHDRAW 837 3962343550 9983 5000
WITHDRAW 839 6801666336 8124 550
WITHDRAW 841 2228710710 7236 3500
DEPOSIT 846 1484643073 1460 450
DEPOSIT 850 4643839340 6719 1150
DEPOSIT 853 4624441229 5419 500
WITHDRAW 863 9202076597 4904 4700
BALANCE 871 4807038448 5788 0
WITHDRAW 877 8342049983 6333 5150
BALANCE 878 3626150029 4227 0
BALANCE 878 2390555486 8967 0
DEPOSIT 887 6470160306 6573 850
BALANCE 896 5789922413 2635 0
WITHDRAW 897 2442707751 1168 2450
DEPOSIT 910 3405979329 3557 250
DEPOSIT 910 2130846438 9358 800
DEPOSIT 917 1599924443 4098 600
WITHDRAW 924 6801666336 8124 400
BALANCE 924 2989404290 2888 0
WITHDRAW 928 4643839340 6719 350
DEPOSIT 935 5888188424 3284 300
WITHDRAW 939 2130846438 9358 3350
DEPOSIT 940 4730722593 5479 1050
WITHDRAW 942 4459969537 6220 5000
BALANCE 943 8102698645 7555 0
BALANCE 953 8748932025 4822 0
WITHDRAW 954 4730722593 5479 4400
WITHDRAW 957 7163060863 4077 4100
REFILL 1000 0000000000 0000 0
